text,label
hello,HELLO
hi,HELLO
hey,HELLO
hello there,HELLO
hi there,HELLO
hey there,HELLO
greetings,HELLO
welcome,HELLO
good to see you,HELLO
nice to see you,HELLO
hello friend,HELLO
hello everyone,HELLO
hello sir,HELLO
hello madam,HELLO
hello buddy,HELLO
hey buddy,HELLO
pleased to meet you,HELLO
hello again,HELLO
hi everyone,HELLO
warm greetings,HELLO
hallo,HELLO
hey friend,HELLO
hi buddy,HELLO
hello dear,HELLO
hello my friend,HELLO
হ্যালো,HELLO
হাই,HELLO
হ্যালো বন্ধু,HELLO
হ্যালো সবাই,HELLO
আপনাকে স্বাগতম,HELLO
শুভেচ্ছা,HELLO
হ্যালো আপনাকে,HELLO
হ্যালো স্যার,HELLO
হ্যালো ম্যাডাম,HELLO
আপনাকে দেখে ভালো লাগছে,HELLO
হ্যালো আবার,HELLO
স্বাগতম বন্ধু,HELLO
শুভেচ্ছা রইল,HELLO
হ্যালো প্রিয়,HELLO
হ্যালো প্রিয় বন্ধু,HELLO
good morning,GOOD_MORNING
very good morning,GOOD_MORNING
morning,GOOD_MORNING
wish you a good morning,GOOD_MORNING
have a great morning,GOOD_MORNING
pleasant morning,GOOD_MORNING
beautiful morning,GOOD_MORNING
good morning friend,GOOD_MORNING
good morning everyone,GOOD_MORNING
fresh morning,GOOD_MORNING
early morning,GOOD_MORNING
lovely morning,GOOD_MORNING
sunny morning,GOOD_MORNING
happy morning,GOOD_MORNING
warm morning wishes,GOOD_MORNING
morning greetings,GOOD_MORNING
start your day well,GOOD_MORNING
enjoy your morning,GOOD_MORNING
morning to you,GOOD_MORNING
nice morning,GOOD_MORNING
শুভ সকাল,GOOD_MORNING
আপনাকে শুভ সকাল,GOOD_MORNING
সুপ্রভাত,GOOD_MORNING
শুভ প্রভাত,GOOD_MORNING
সকালের শুভেচ্ছা,GOOD_MORNING
আজ সকাল ভালো হোক,GOOD_MORNING
ভালো সকাল,GOOD_MORNING
সুন্দর সকাল,GOOD_MORNING
শুভ সকাল বন্ধু,GOOD_MORNING
সকালের শুভ কামনা,GOOD_MORNING
ভোরের শুভেচ্ছা,GOOD_MORNING
শুভ সকাল স্যার,GOOD_MORNING
শুভ সকাল ম্যাডাম,GOOD_MORNING
আনন্দময় সকাল,GOOD_MORNING
good afternoon,GOOD_AFTERNOON
pleasant afternoon,GOOD_AFTERNOON
have a nice afternoon,GOOD_AFTERNOON
afternoon greetings,GOOD_AFTERNOON
warm afternoon wishes,GOOD_AFTERNOON
good afternoon everyone,GOOD_AFTERNOON
good afternoon friend,GOOD_AFTERNOON
enjoy your afternoon,GOOD_AFTERNOON
hope your afternoon is good,GOOD_AFTERNOON
nice afternoon,GOOD_AFTERNOON
শুভ অপরাহ্ন,GOOD_AFTERNOON
আপনাকে শুভ অপরাহ্ন,GOOD_AFTERNOON
দুপুরের শুভেচ্ছা,GOOD_AFTERNOON
শুভ দুপুর,GOOD_AFTERNOON
আজ দুপুর ভালো হোক,GOOD_AFTERNOON
দুপুরের শুভ কামনা,GOOD_AFTERNOON
ভালো অপরাহ্ন,GOOD_AFTERNOON
সুন্দর অপরাহ্ন,GOOD_AFTERNOON
দুপুরের শুভ বার্তা,GOOD_AFTERNOON
আনন্দময় অপরাহ্ন,GOOD_AFTERNOON
good evening,GOOD_EVENING
pleasant evening,GOOD_EVENING
have a nice evening,GOOD_EVENING
evening greetings,GOOD_EVENING
beautiful evening,GOOD_EVENING
warm evening wishes,GOOD_EVENING
